"indexDesignation","relOTR","maturity","contractId","expiryDate","coupon","recovery","strike","strike_in_spread_format","impliedVol","spread","logM","optionType","expiry","expiryMonth"
"CDX.NA.HY",-1,2028-12-20,"CDX.NA.HY-S41-V2-5Y-JUN24-109.5-P",2024-06-19,500,0.3,109.5,0.025003337298542,0.53853290586152,0.032304,-0.256181753669857,1,1,"1M"
"CDX.NA.HY",-1,2028-12-20,"CDX.NA.HY-S41-V2-5Y-JUN24-110-R",2024-06-19,500,0.3,110,0.0237854291150361,0.579457180553136,0.032304,-0.306117890434808,-1,1,"1M"
"CDX.NA.HY",-1,2028-12-20,"CDX.NA.HY-S41-V2-5Y-JUN24-110-P",2024-06-19,500,0.3,110,0.0237854291150361,0.579457180553136,0.032304,-0.306117890434808,1,1,"1M"
"CDX.NA.HY",-1,2028-12-20,"CDX.NA.HY-S41-V2-5Y-JUN24-110.5-R",2024-06-19,500,0.3,110.5,0.0225763143685484,0.61956879291518,0.032304,-0.358289741656708,-1,1,"1M"
"CDX.NA.HY",-1,2028-12-20,"CDX.NA.HY-S41-V2-5Y-JUN24-110.5-P",2024-06-19,500,0.3,110.5,0.0225763143685484,0.61956879291518,0.032304,-0.358289741656708,1,1,"1M"
"CDX.NA.HY",-1,2028-12-20,"CDX.NA.HY-S41-V2-5Y-JUN24-111-R",2024-06-19,500,0.3,111,0.0213758695550286,0.65911420935557,0.032304,-0.412928366638094,-1,1,"1M"
"CDX.NA.HY",-1,2028-12-20,"CDX.NA.HY-S41-V2-5Y-JUN24-111-P",2024-06-19,500,0.3,111,0.0213758695550286,0.65911420935557,0.032304,-0.412928366638094,1,1,"1M"
"CDX.NA.HY",-1,2028-12-20,"CDX.NA.HY-S41-V2-5Y-JUN24-111.5-R",2024-06-19,500,0.3,111.5,0.0201839737251923,0.698332868163784,0.032304,-0.470302151996727,-1,1,"1M"
"CDX.NA.HY",-1,2028-12-20,"CDX.NA.HY-S41-V2-5Y-JUN24-102-R",2024-06-19,500,0.3,102,0.0444198840715887,0.801153939683548,0.032304,0.318496147067736,-1,1,"1M"
"CDX.NA.HY",-1,2028-12-20,"CDX.NA.HY-S41-V2-5Y-JUN24-102-P",2024-06-19,500,0.3,102,0.0444198840715887,0.801153939683548,0.032304,0.318496147067736,1,1,"1M"
"CDX.NA.HY",-1,2028-12-20,"CDX.NA.HY-S41-V2-5Y-JUN24-102.5-R",2024-06-19,500,0.3,102.5,0.0430532725790112,0.766723136812445,0.032304,0.287247184509527,-1,1,"1M"
